codigo_inep,ano,n_redacoes,media_c1,media_c2,media_c3,media_c4,media_c5
16009606,2024,74,135.14,160.54,136.76,155.68,157.84
16009762,2024,14,130.0,171.43,135.71,138.57,130.0
16009940,2024,94,111.28,134.26,109.57,121.91,93.4
16010000,2024,132,113.79,136.06,105.61,118.64,96.36
16010361,2024,110,116.18,139.09,114.18,124.55,99.27
16010370,2024,49,121.22,160.0,125.31,148.16,155.92
16010418,2024,71,110.7,138.03,103.1,118.03,88.45
16010493,2024,16,107.5,117.5,93.75,108.75,75.0
16010787,2024,16,117.5,122.5,93.75,115.0,88.75
16010825,2024,29,111.72,146.21,113.1,119.31,98.62
16010949,2024,56,111.43,136.07,107.86,116.07,85.36
16011023,2024,16,112.5,136.25,100.0,112.5,77.5
16011201,2024,35,109.14,134.86,99.43,116.0,90.86
16011244,2024,25,152.8,182.4,163.2,184.0,185.6
16011341,2024,71,134.37,161.97,132.68,145.35,134.37
16011570,2024,16,142.5,180.0,156.25,171.25,177.5
16011589,2024,83,133.01,168.92,135.18,146.02,141.2
16011678,2024,32,128.75,166.88,127.5,142.5,125.62
16011694,2024,42,139.05,167.14,137.14,155.24,150.95
16011759,2024,9,144.44,168.89,148.89,157.78,137.78
16011848,2024,81,114.32,139.75,112.59,125.43,108.4
16012054,2024,34,140.0,173.53,149.41,162.35,160.0
16012100,2024,14,148.57,181.43,152.86,167.14,167.14
16012232,2024,23,113.91,132.17,103.48,112.17,84.35
16012461,2024,19,111.58,137.89,110.53,123.16,90.53
16027000,2024,26,142.31,173.08,152.31,169.23,163.08
17000335,2024,135,126.67,157.33,126.22,146.07,126.07
17000378,2024,81,106.42,132.59,104.69,117.53,78.27
17001005,2024,83,117.83,141.93,113.98,121.2,97.59
17001021,2024,8,115.0,132.5,110.0,127.5,85.0
17001030,2024,9,106.67,135.56,97.78,106.67,80.0
17001048,2024,58,125.86,156.9,125.86,140.0,137.93
17001161,2024,74,122.7,148.38,121.89,131.89,108.11
17001439,2024,27,114.81,133.33,102.96,121.48,100.0
17001471,2024,6,100.0,116.67,100.0,103.33,50.0
17001595,2024,22,109.09,145.45,110.0,127.27,92.73
17001650,2024,11,92.73,105.45,81.82,96.36,61.82
17001730,2024,44,120.0,149.09,116.36,129.55,105.91
17001935,2024,18,105.56,134.44,100.0,111.11,70.0
