inep_nome,desempenho_habilidades,ano
11018089-EEEFM CARLOS DRUMOND DE ANDRADE,0.35916589087720857,2024
11018267-EEEFM EMBURANA,0.31777777777777777,2024
11018810-EEEFM PROFESSOR PAULO FREIRE,0.31328577336641855,2024
11018950-EEEFM PRESIDENTE EMILIO GARRASTAZU MEDICI,0.35627240143369177,2024
11019115-EEEFM CLAUDIO MANOEL DA COSTA,0.23055555555555554,2024
11019140-EEEFM COSTA JUNIOR,0.29451748441312009,2024
11019948-EEEFM MIGRANTES,0.33116512560252132,2024
11019956-INSTITUTO ADVENTISTA DA AMAZONIA OCIDENTAL,0.35734359726295212,2024
11020326-EEEFM PRIMAVERA,0.27512050426399703,2024
11020504-EEEFM ALTAMIR BILLY SOARES,0.28828250607190509,2024
11021403-EEEFM TUBARAO,0.31066967109424409,2024
11022221-EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA,0.34423307077847975,2024
11022981-EEEFM PRINCESA ISABEL,0.31026339835947125,2024
11023678-EEEFM SANTA ANA,0.30268720493119355,2024
11024097-EEEFM OSWALDO PIANNA,0.29389118587389207,2024
11024437-EEEFM ARTUR DA COSTA E SILVA,0.31871109224674593,2024
11024682-EEEFM EURIDICE LOPES PEDROSO,0.29863238478383897,2024
11024968-EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA,0.38807603686635944,2024
11025638-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XI,0.32418648706560693,2024
11025670-CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS,0.40165629186126495,2024
11025697-CEEJA AIDA FIBIGER DE OLIVEIRA,0.3262096774193548,2024
11026073-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM IX,0.31568592697624953,2024
11026197-EEEFM CARLOS DRUMMOND DE ANDRADE,0.29066918153826315,2024
11026278-EEEFM CORA CORALINA,0.34020926511549615,2024
11026324-ESCOLA DANIEL BERG,0.47102842566519892,2024
11027290-ESCOLA DE EDUCACAO BASICA E PROFISSIONAL ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI,0.41356765479725549,2024
11027312-EEEFM BERNARDO GUIMARAES,0.299221844934918,2024
11027320-EEEFM CARLOS GOMES,0.33137202886247874,2024
11027347-EEEMTI CLODOALDO NUNES DE ALMEIDA,0.36770353302611369,2024
11027355-ESCOLA DE ENSINO FUNDAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN,0.24781746031746035,2024
11027754-EEEFM JEAN PIAGET,0.31186187916026631,2024
11028424-EEEMTI 7 DE SETEMBRO,0.3516178184850613,2024
11028750-EEEFM CARLOS DRUMOND DE ANDRADE,0.334230864459536,2024
11029056-EEEFM JOSE ROSALES DOS SANTOS,0.40678967090257406,2024
11029110-EEEFM MARIA DO CARMO DE OLIVEIRA RABELO,0.26276881720430106,2024
11029307-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM VIII,0.28292762558190326,2024
11029439-EEEMTI CANDIDO PORTINARI,0.40415989203954217,2024
11029455-EEEFM CEL ALUIZIO PINHEIRO FERREIRA,0.37384709056969906,2024
11029480-EEEFM TANCREDO DE ALMEIDA NEVES,0.328020993343574,2024
11029951-EEEFM JUSCELINO KUBITSCHEK,0.35536100397381948,2024
11030003-EEEFM AMERICO BRASILIENSE DE ALMEIDA E MELO,0.35019590273385343,2024
11030216-ESCOLA FAMILIA AGRICOLA CHICO MENDES,0.35063844086021512,2024
11030372-EEEFM MARECHAL CANDIDO RONDON,0.33111559139784946,2024
11030666-EEEFM FRANCISCA JULIA DA SILVA,0.25921717171717173,2024
11031298-EEEFM NILO COELHO,0.31119967491872969,2024
11031689-EEEFM BENEDITO LAURINDO GONCALVES,0.30834610519145622,2024
11031964-EEEFM FELIPE CAMARAO,0.34754412517695243,2024
11032189-EEEFM JOSE SEVERINO DOS SANTOS,0.30698924731182792,2024
11032260-EEEMTI MARECHAL CORDEIRO DE FARIAS,0.39697376995764094,2024
11032510-EEEFM ORLANDO BUENO DA SILVA,0.30921445639187567,2024
11033070-EEEFM RAIMUNDO EUCLIDES BARBOSA,0.30951117713638937,2024
11033193-CEEJA VILHENA,0.27876140436624308,2024
11033215-CENTRO EDUCACIONAL ISOLINA RUTTMANN - SESI,0.40584251157256246,2024
11033649-EEEFM MARIA ARLETE TOLEDO,0.30951314217443254,2024
11033738-COLEGIO SANTA LUCIA FILIPPINI,0.48158602150537638,2024
11033797-EEEFM ALVARES DE AZEVEDO,0.323303102357455,2024
11033819-EEEM EM TEMPO INTEGRAL MARECHAL RONDON,0.34256592421915005,2024
11033835-COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM V,0.33509193539435472,2024
11034440-EEEFM JOSE DE ANCHIETA,0.31008314966940492,2024
11034998-EEEM TANCREDO DE ALMEIDA NEVES,0.32539345063538616,2024
11035080-EEEFM INACIO DE CASTRO,0.29569444444444443,2024
11035951-EEEFM MANUEL BANDEIRA,0.33912424940650748,2024
11035960-EEEFM PAULO DE ASSIS RIBEIRO,0.322542058959716,2024
11036486-EEEFM DOUTOR OSWALDO PIANNA,0.34591095969179458,2024
11037016-IFRO - CAMPUS COLORADO DO OESTE,0.37758531061038075,2024
11037474-CENTRO DE ENSINO MINEIRO,0.44204361710728429,2024
11037660-COLEGIO UNIAO,0.51058572096440269,2024
11038063-EEEFM ULISSES GUIMARAES - CIVICO-MILITAR,0.27401453856712954,2024
11038578-ESCOLA MONTEIRO LOBATO,0.4938223738626964,2024
11039582-EEEMTI MARECHAL RONDON,0.34649746995572422,2024
11040076-COOPERATIVA DE PROFISSIONAIS EM EDUCACAO,0.3687596006144393,2024
11040629-EEEFM JAYME PEIXOTO DE ALENCAR,0.33360407066052228,2024
11040793-EEEB PROF JOAO BENTO DA COSTA,0.34456248780836879,2024
11041951-COOPERATIVA EDUCACIONAL DE VILHENA,0.52812980030721968,2024
11042028-EEEFM PROF ELVANDAS MARIA DE SIQUEIRA,0.28825131495722228,2024
11043857-COLEGIO CLASSE A,0.53011659412869094,2024
11045639-COLEGIO CLARICE LISPECTOR LTDA,0.52992831541218632,2024
11045914-EEEFM MARIA DE ABREU BIANCO,0.3024532393602602,2024
11046740-EEEMTI JOSINO BRITO,0.371588792671742,2024
11046953-EEEFM ALBINO BUTTNER,0.27697132616487452,2024
11047208-EEEMTI JOVEM GONCALVES VILELA,0.36937916312039731,2024
11047216-EEEFM DARCY DA SILVEIRA,0.26405446470313232,2024
11048018-EEEM PROFª MARIA CONCEICAO DE SOUZA,0.31741070527950938,2024
11048247-EEEFM PROFESSORA MARIA LAURINDA GROFF,0.29013776881720432,2024
11048450-ESCOLA MARCELO CANDIA SUBSEDE I,0.34962981913466828,2024
11048557-COLEGIO CRISTAO,0.44638888888888884,2024
11048956-CENTRO TECNICO ESTADUAL DE EDUCACAO RURAL ABAITARA,0.3134124276261373,2024
11049014-ESCOLA FAMILIA AGRICOLA DOM ANTONIO POSSAMAI,0.33770161290322581,2024
11049073-COLEGIO SAPIENS - UNIDADE INTENSIVO,0.49199392239364181,2024
11049430-COLEGIO TIRADENTES DA POLICIA MILITAR II UNIDADE JACI PARANA CTPM II,0.29845838644311534,2024
11049634-EEEMTI PROFESSOR ALEJANDRO YAGUE MAYOR,0.38404465136339944,2024
11049723-INSTITUTO EDUCACIONAL SOMA - IES,0.56393572825024429,2024
11049812-EEEFM VALDOMIRO FRANCISCO DE OLIVEIRA,0.3119959677419355,2024
11049855-EEEFM PEDRO MENDES CARDOSO,0.29142131763099505,2024
11049936-EEEMTI LYDIA JOHNSON DE MACEDO,0.30223613833987367,2024
11049960-IFRO - CAMPUS GUAJARA-MIRIM,0.3665434339460697,2024
11050233-EEEFM PROFESSORA QUITERIA DE OLIVEIRA DA SILVA,0.31442307692307697,2024
