codigo_inep,nome_escola,tipo_escola
11026197,EEEFM CARLOS DRUMMOND DE ANDRADE,Pública
11026278,EEEFM CORA CORALINA,Pública
11026324,ESCOLA DANIEL BERG,Privada
11027290,ESCOLA DE EDUCACAO BASICA E PROFISSIONAL ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI,Privada
11027312,EEEFM BERNARDO GUIMARAES,Pública
11027320,EEEFM CARLOS GOMES,Pública
11027347,EEEMTI CLODOALDO NUNES DE ALMEIDA,Pública
11027355,ESCOLA DE ENSINO FUNDAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN,Privada
11027754,EEEFM JEAN PIAGET,Pública
11028424,EEEMTI 7 DE SETEMBRO,Pública
11028750,EEEFM CARLOS DRUMOND DE ANDRADE,Pública
11029056,EEEFM JOSE ROSALES DOS SANTOS,Pública
11029110,EEEFM MARIA DO CARMO DE OLIVEIRA RABELO,Pública
11029307,COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM VIII,Pública
11029439,EEEMTI CANDIDO PORTINARI,Pública
11029455,EEEFM CEL ALUIZIO PINHEIRO FERREIRA,Pública
11029480,EEEFM TANCREDO DE ALMEIDA NEVES,Pública
11029951,EEEFM JUSCELINO KUBITSCHEK,Pública
11030003,EEEFM AMERICO BRASILIENSE DE ALMEIDA E MELO,Pública
11030216,ESCOLA FAMILIA AGRICOLA CHICO MENDES,Privada
11030372,EEEFM MARECHAL CANDIDO RONDON,Pública
11030666,EEEFM FRANCISCA JULIA DA SILVA,Pública
11031298,EEEFM NILO COELHO,Pública
11031689,EEEFM BENEDITO LAURINDO GONCALVES,Pública
11031964,EEEFM FELIPE CAMARAO,Pública
11032189,EEEFM JOSE SEVERINO DOS SANTOS,Pública
11032260,EEEMTI MARECHAL CORDEIRO DE FARIAS,Pública
11032510,EEEFM ORLANDO BUENO DA SILVA,Pública
11033070,EEEFM RAIMUNDO EUCLIDES BARBOSA,Pública
11033193,CEEJA VILHENA,Pública
